Active Ingredient,Trade Name,AUST R,Expected Supply,Availability,Management Action,Updated
escitalopram oxalate,APO-ESCITALOPRAM escitalopram (as oxalate) 20 mg tablet blister,AUST R: 213722,Expected supply: 18 Apr 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 17-02-2025
bicalutamide,APO-BICALUTAMIDE bicalutamide 50mg film-coated tablet blister pack,AUST R: 194683,Expected supply: 20 Jun 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 17-02-2025
candesartan cilexetil,APO-CANDESARTAN candesartan cilexetil 4 mg tablet blister pack,AUST R: 210529,Expected supply: 25 Apr 2025,Availability: Limited Availability,Management action: Alternative generic products are available,Updated 17-02-2025
clopidogrel besilate,PLIDOGREL clopidogrel (as besilate) 75 mg tablet blister pack,AUST R: 218326,Expected supply: 29 Aug 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 17-02-2025
galantamine hydrobromide,GAMINE XR galantamine (as hydrobromide) 16mg modified release capsules blister pack,AUST R: 182038,Expected supply: 29 Aug 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 17-02-2025
heparin sodium,HEPARINISED SALINE 50IU/5mL (porcine mucous) injection ampoule,AUST R: 66684,Expected supply: 30 Apr 2026,Availability: Unavailable,"Management action: An unregistered product has been approved for supply under Section 19A. The approval holder, ORSPEC Pharma Pty Ltd, can be contacted for details on supply on 02 4339 4239.",Updated 13-02-2025
vinblastine sulfate,DBL VINBLASTINE INJECTION Vinblastine sulfate 10mg/10mL injection vial,AUST R: 16309,Expected supply: 30 Apr 2025,Availability: Limited Availability,Management action: The sponsor is closely controlling the supply. Patients are advised to consult their health professional to discuss alternative treatment options.,Updated 12-02-2025
Bevacizumab,BEVACIPTIN bevacizumab 100 mg/4 mL concentrated solution for infusion vial,AUST R: 347292,Expected supply: 30 Jun 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 11-02-2025
atorvastatin calcium trihydrate,Ezetast 10/10 ezetimibe and atorvastatin (as calcium trihydrate) 10 mg/10 mg tablets blister pack,AUST R: 306963,Expected supply: 25 Jun 2025,Availability: Unavailable,Management action: An alternative generic product is available.,Updated 11-02-2025
exemestane,EXEMESTANE GH exemestane 25mg tablet blister pack,AUST R: 167858,Expected supply: 25 Apr 2025,Availability: Limited Availability,Management action: The sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 11-02-2025
alprostadil,CAVERJECT IMPULSE alprostadil 20microgram powder for injection with 0.5mL diluent dual chamber cartridge in single use syringe device,AUST R: 90197,Expected supply: 31 Aug 2025,Availability: Unavailable,Management action: An alternative strength is available.,Updated 06-02-2025
octreotide,OCTREOTIDE GH octreotide as acetate 100 micrograms/1 mL injection ampoule,AUST R: 148402,Expected supply: 31 Dec 2025,Availability: Limited Availability,Management action: An unregistered product has been approved for supply under Section 19A. See the website: https://www.tga.gov.au/ws-sl9a-index and search for the active ingredient.,Updated 06-02-2025
octreotide,OCTREOTIDE GH octreotide as acetate 50 micrograms/1 mL injection ampoule,AUST R: 148404,Expected supply: 31 Dec 2025,Availability: Limited Availability,Management action: An unregistered product has been approved for supply under Section 19A. See the website: https://www.tga.gov.au/ws-sl9a-index and search for the active ingredient.,Updated 06-02-2025
octreotide,OCTREOTIDE GH octreotide as acetate 500 micrograms/1 mL injection ampoule,AUST R: 148403,Expected supply: 31 Dec 2025,Availability: Unavailable,Management action: An unregistered product has been approved for supply under Section 19A. See the website: https://www.tga.gov.au/ws-sl9a-index and search for the active ingredient,Updated 06-02-2025
imipramine hydrochloride,TOFRANIL 25 imipramine hydrochloride 25mg tablet blister pack,AUST R: 60673,Expected supply: 30 Jun 2025,Availability: Unavailable,Management action: An unregistered product has been approved for supply under Section 19A. See the website and search for the active ingredient: https://www.tga.gov.au/resources/section-19a-approvals,Updated 05-02-2025
acetylcholine chloride,MIOCHOL-E acetylcholine chloride 20mg/2mL powder for solution for intraocular irrigation ampoule,AUST R: 118510,Expected supply: 30 Jun 2025,Availability: Limited Availability,Management action: The sponsor is working to expedite the next shipment.,Updated 05-02-2025
sodium pertechnetate(99mTc),TECHNELITE Molybdenum(99Mo)/Technetium(99mTc) sterile Generator for production of Sodium pertechnetate(99mTc) injection multidose vial,AUST R: 130301,Expected supply: 31 Dec 2026,Availability: Unavailable,,Updated 04-02-2025
estradiol,ESTALIS CONTINUOUS 50/140 estradiol 50mcg/day norethisterone acetate 140mcg/day patch sachet,AUST R: 70813,Expected supply: 30 Jun 2025,Availability: Unavailable,Management action: Sponsor is working to expedite the next shipment.,Updated 04-02-2025
metoprolol succinate,MINAX XL metoprolol succinate 95 mg modified release tablet blister pack,AUST R: 205148,Expected supply: 31 May 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 31-01-2025
ropivacaine hydrochloride monohydrate,"ROPIVACAINE READYFUSOR ropivacaine hydrochloride 0.2% solution for injection, bottle in dispenser device",AUST R: 267572,Expected supply: 02 Feb 2026,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 30-01-2025
cisplatin,CISPLATIN ACCORD cisplatin 50 mg/50 mL concentrated injection vial,AUST R: 286786,Expected supply: 31 May 2025,Availability: Limited Availability,Management action: The sponsor is working to expedite the next shipment.,Updated 30-01-2025
clozapine,CLOPINE SUSPENSION clozapine 50 mg/mL oral liquid bottle,AUST R: 142239,Expected supply: 31 Jan 2026,Availability: Unavailable,Management action: An unregistered product has been approved for supply under Section 19A. See the website: https://www.tga.gov.au/ws-s19a-index and search for the active ingredient.,Updated 29-01-2025
epirubicin hydrochloride,EPIRUBICIN ACCORD epirubicin hydrochloride 200mg/100mL concentrated injection vial,AUST R: 227997,Expected supply: 31 May 2025,Availability: Unavailable,Management action: An alternative brand is available. Sponsor is working to expedite the next shipment.,Updated 29-01-2025
salbutamol sulfate,SALBUTAMOL CIPLA salbutamol 2.5mg/2.5mL (as sulfate) inhalation ampoules,AUST R: 115652,Expected supply: 31 Aug 2025,Availability: Unavailable,Management action: An alternative brand is available.,Updated 28-01-2025
tamoxifen citrate,GENRX TAMOXIFEN tamoxifen (as citrate) 20 mg tablet blister pack,AUST R: 316360,Expected supply: 25 Apr 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 28-01-2025
duloxetine hydrochloride,DYTREX 30 duloxetine (as hydrochloride) 30 mg enteric capsule blister pack,AUST R: 199262,Expected supply: 23 May 2025,Availability: Limited Availability,Management action: Sponsor is working to expedite the next shipment.,Updated 24-01-2025
methylphenidate hydrochloride,METHYLPHENIDATE-TEVA XR methylphenidate hydrochloride 54 mg modified release tablet bottle,AUST R: 370899,Expected supply: 31 Dec 2025,Availability: Limited Availability,"Management action: The sponsor is closely monitoring the supply.Patients are advised to consult their healthcare professional to discuss their options. An unregistered product has been approved for supply under Section 19A. The approval holder, Medsurge Healthcare Pty Ltd can be contacted for details on supply on 1300 788 261.",Updated 24-01-2025
methylphenidate hydrochloride,METHYLPHENIDATE-TEVA XR methylphenidate hydrochloride 18 mg modified release tablet bottle,AUST R: 370912,Expected supply: 31 Dec 2025,Availability: Limited Availability,"Management action: The sponsor is closely monitoring the supply.Patients are advised to consult their healthcare professional to discuss their options. An unregistered product has been approved for supply under Section 19A. The approval holder, Medsurge Healthcare Pty Ltd can be contacted for details on supply on 1300 788 261.",Updated 24-01-2025
methylphenidate hydrochloride,METHYLPHENIDATE-TEVA XR methylphenidate hydrochloride 36 mg modified release tablet bottle,AUST R: 370900,Expected supply: 31 Dec 2025,Availability: Limited Availability,"Management action: The sponsor is closely monitoring the supply.Patients are advised to consult their healthcare professional to discuss their options. An unregistered product has been approved for supply under Section 19A. The approval holder, Medsurge Healthcare Pty Ltd can be contacted for details on supply on 1300 788 261.",Updated 24-01-2025
methylphenidate hydrochloride,METHYLPHENIDATE-TEVA XR methylphenidate hydrochloride 27 mg modified release tablet bottle,AUST R: 370911,Expected supply: 31 Dec 2025,Availability: Limited Availability,"Management action: The sponsor is closely monitoring the supply.Patients are advised to consult their healthcare professional to discuss their options. An unregistered product has been approved for supply under Section 19A. The approval holder, Medsurge Healthcare Pty Ltd can be contacted for details on supply on 1300 788 261.",Updated 24-01-2025
levothyroxine sodium,THYROX levothyroxine sodium 100 microgram tablet bottle,AUST R: 391801,Expected supply: 31 Mar 2026,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 24-01-2025
nebivolol hydrochloride,NEBIVOLOL SANDOZ nebivolol (as hydrochloride) 10 mg immediate release tablet blister pack,AUST R: 311725,Expected supply: 30 Apr 2025,Availability: Unavailable,Management action: Alternative brands are available.,Updated 22-01-2025
levothyroxine sodium,THYROX levothyroxine sodium 200 microgram tablet bottle,AUST R: 391802,Expected supply: 31 Mar 2026,Availability: Unavailable,Management action: Alternative brands are available.,Updated 22-01-2025
levothyroxine sodium,THYROX levothyroxine sodium 25 microgram tablet bottle,AUST R: 391799,Expected supply: 31 Mar 2026,Availability: Unavailable,Management action: An alternative generic product is available.,Updated 22-01-2025
levothyroxine sodium,THYROX levothyroxine sodium 50 microgram tablet bottle,AUST R: 391800,Expected supply: 31 Mar 2026,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 22-01-2025
levothyroxine sodium,THYROX levothyroxine sodium 75 microgram tablet bottle,AUST R: 391474,Expected supply: 31 Mar 2026,Availability: Unavailable,Management action: Alternative brands are available.,Updated 22-01-2025
bisoprolol fumarate,APO-BISOPROLOL bisoprolol fumarate 10mg tablet blister pack,AUST R: 182123,Expected supply: 18 Apr 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 21-01-2025
dutasteride,DUTASTERIDE/TAMSULOSIN LUPIN 500/400 dutasteride 500 microgram/tamsulosin hydrochloride 400 microgram modified release capsule bottle,AUST R: 414647,Expected supply: 30 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 21-01-2025
ketamine hydrochloride,KETALAR ketamine 200mg/2mL (as hydrochloride) injection vial,AUST R: 70073,Expected supply: 30 May 2025,Availability: Limited Availability,Management action: Sponsor is working to expedite the next shipment.. Alternative brands are available.,Updated 21-01-2025
cisplatin,DBL CISPLATIN 100mg/100mL injection vial,AUST R: 47276,Expected supply: 02 May 2025,Availability: Limited Availability,"Management action: Sponsor is closely controlling the supply. Unregistered products have been approved for supply under Section 19A. The approval holder, Orspec Pharma Pty Ltd, can be contacted for details on supply on 02 4339 4239.",Updated 17-01-2025
cisplatin,DBL CISPLATIN 50mg/50mL injection vial,AUST R: 47275,Expected supply: 30 May 2025,Availability: Limited Availability,Management action: The sponsor is closely controlling the supply.,Updated 17-01-2025
metoprolol succinate,MINAX XL metoprolol succinate 190 mg modified release tablet blister pack,AUST R: 205150,Expected supply: 31 May 2025,Availability: Unavailable,Management action: Alternative brands are available.,Updated 16-01-2025
